Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,diff_median_score,step
1ccccc1)c1,9,0.21892483580637315,7,5.833333333333333,0.00126135,0.0,0.0020487,"['CC(=O)NC(=Cc1ccccc1)c1ccccc1', 'CC(=Pc1c(C(C)C)cc(C(C)C)cc1C(C)C)P=C(O[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1', 'CN(C)c1c([N+](=O)[O-])ccc(N)c1NC(=O)C(=O)NN(c1ccccc1)c1ccccc1', 'O=C(C[Se]c1ccccc1)c1ccc(Cl)cc1[N+](=O)[O-]', 'O=S(=O)(c1ccccc1)c1oc(Cc2ccccc2)cc1Cc1ccccc1', 'O=C(OC(=C(O)C(=O)c1ccccc1)c1ccccc1)c1ccccc1', 'S=C(NN=C(c1ccccc1)c1ccccc1)Nc1cccc(Cl)c1']",-0.0020487,20
C(=O)c1ccc,9,0.21892483580637315,9,7.5,0.00126135,0.0,0.0020487,"['O=C(COC(=O)c1cccnc1Cl)c1ccc(-c2ccccc2)cc1', 'CCOc1cc(OC(=O)c2ccccc2)c(C#Cc2ccccc2)cc1C#CC#Cc1ccccc1COC(=O)c1ccccc1', 'CC1(C)C(=O)COC12CC(=O)c1ccccc12', 'COC(=O)c1ccccc2cc3c(=O)c(C[P-](#[O+])(c4ccccc4)c4ccccc4)cccc3c1-2', 'CC(C)C1CCN1C(=O)c1cccc(-c2ccccc2)c1NC(=O)C1CCCN1C(=O)OC(C)(C)C', 'COC(=O)CNC(=O)C(C)(C)NC(=O)CCNC(=O)c1ccccc1', 'COC(=O)c1ccc2cc(C)cc(C(=O)OC)c2c1C(=O)OC', 'CC(=[S+]CCC(C)=C(C#N)C#N)C(C(=O)c1ccccc1)=[N+]([O-])[O-]', 'O=C(OC(=C(O)C(=O)c1ccccc1)c1ccccc1)c1ccccc1']",-0.0020487,20
ccc1)c1ccc,8,0.19459985405010946,6,5.0,0.00126135,0.0,0.0023515000000000003,"['CC(=O)NC(=Cc1ccccc1)c1ccccc1', 'CC(=Pc1c(C(C)C)cc(C(C)C)cc1C(C)C)P=C(O[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1', 'CN(C)c1c([N+](=O)[O-])ccc(N)c1NC(=O)C(=O)NN(c1ccccc1)c1ccccc1', 'O=C(C[Se]c1ccccc1)c1ccc(Cl)cc1[N+](=O)[O-]', 'O=C(OC(=C(O)C(=O)c1ccccc1)c1ccccc1)c1ccccc1', 'S=C(NN=C(c1ccccc1)c1ccccc1)Nc1cccc(Cl)c1']",-0.0023515000000000003,20
cccc1)c1cc,8,0.19459985405010946,6,5.0,0.00126135,0.0,0.0023515000000000003,"['CC(=O)NC(=Cc1ccccc1)c1ccccc1', 'CC(=Pc1c(C(C)C)cc(C(C)C)cc1C(C)C)P=C(O[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1', 'CN(C)c1c([N+](=O)[O-])ccc(N)c1NC(=O)C(=O)NN(c1ccccc1)c1ccccc1', 'O=C(C[Se]c1ccccc1)c1ccc(Cl)cc1[N+](=O)[O-]', 'O=C(OC(=C(O)C(=O)c1ccccc1)c1ccccc1)c1ccccc1', 'S=C(NN=C(c1ccccc1)c1ccccc1)Nc1cccc(Cl)c1']",-0.0023515000000000003,20
ccccc1)c1c,8,0.19459985405010946,6,5.0,0.00126135,0.0,0.0023515000000000003,"['CC(=O)NC(=Cc1ccccc1)c1ccccc1', 'CC(=Pc1c(C(C)C)cc(C(C)C)cc1C(C)C)P=C(O[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1', 'CN(C)c1c([N+](=O)[O-])ccc(N)c1NC(=O)C(=O)NN(c1ccccc1)c1ccccc1', 'O=C(C[Se]c1ccccc1)c1ccc(Cl)cc1[N+](=O)[O-]', 'O=C(OC(=C(O)C(=O)c1ccccc1)c1ccccc1)c1ccccc1', 'S=C(NN=C(c1ccccc1)c1ccccc1)Nc1cccc(Cl)c1']",-0.0023515000000000003,20
(c3ccccc3),8,0.19459985405010946,6,5.0,0.00126135,0.013701600000000001,0.00049015,"['CC1=CC2=C(c3ccccc3)c3ccccc3C3c4ccccc4C23c2ccccc21', 'O=S1(=O)c2ccccc2C(F)(F)N1C1=NN=C(C(F)(F)F)C2(c3ccccc3)SCSC12', 'Cc1ccc(C2C(c3ccccc3)=C(c3ccccc3)C2(C)C)cc1', 'CC1(C)OC2NC(C(C)(C)C)B(c3ccccc3)OC2O1', 'CC1OC(=O)C2(C(=O)C=C(n3cccn3)N(c3ccccc3)C2c2ccccc2)C1=O', 'c1ccc(CC2(C(c3ccccc3)c3ccccc3)CCCN(c3ccccc3)O2)cc1']",0.013211450000000001,20
(=O)c2cccc,7,0.17027487229384577,7,5.833333333333333,0.00126135,0.0,0.0020487,"['CCOc1cc(OC(=O)c2ccccc2)c(C#Cc2ccccc2)cc1C#CC#Cc1ccccc1COC(=O)c1ccccc1', 'COC1=C(O[Si](C)(C)C)C(=O)c2ccccc2C1=O', 'O=S1(=O)c2ccccc2C(F)(F)N1C1=NN=C(C(F)(F)F)C2(c3ccccc3)SCSC12', 'CC(=O)OCC(=NO)C(=O)OC1(C(Cl)(Cl)Cl)NC(=O)c2ccccc21', 'CCc1c(C(=O)c2ccccc2O)c(C)n(C2CC2)c1C1CC1', 'CCn1c(=O)n(C(C[N+](=O)[O-])C2CC2C(=O)c2ccccc2)c2ccccc21', 'Cc1ccc([S+]=C(C=C([O-])c2ccc(C)cc2)S(=O)(=O)c2ccccc2)cc1']",-0.0020487,20
O)c2ccccc2,7,0.17027487229384577,7,5.833333333333333,0.00126135,0.0,0.0020487,"['CCOc1cc(OC(=O)c2ccccc2)c(C#Cc2ccccc2)cc1C#CC#Cc1ccccc1COC(=O)c1ccccc1', 'COC1=C(O[Si](C)(C)C)C(=O)c2ccccc2C1=O', 'O=S1(=O)c2ccccc2C(F)(F)N1C1=NN=C(C(F)(F)F)C2(c3ccccc3)SCSC12', 'CC(=O)OCC(=NO)C(=O)OC1(C(Cl)(Cl)Cl)NC(=O)c2ccccc21', 'CCc1c(C(=O)c2ccccc2O)c(C)n(C2CC2)c1C1CC1', 'CCn1c(=O)n(C(C[N+](=O)[O-])C2CC2C(=O)c2ccccc2)c2ccccc21', 'Cc1ccc([S+]=C(C=C([O-])c2ccc(C)cc2)S(=O)(=O)c2ccccc2)cc1']",-0.0020487,20
1)c1ccccc1,7,0.17027487229384577,5,4.166666666666666,0.00126135,0.0,0.0020487,"['CC(=O)NC(=Cc1ccccc1)c1ccccc1', 'CC(=Pc1c(C(C)C)cc(C(C)C)cc1C(C)C)P=C(O[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1', 'CN(C)c1c([N+](=O)[O-])ccc(N)c1NC(=O)C(=O)NN(c1ccccc1)c1ccccc1', 'O=C(OC(=C(O)C(=O)c1ccccc1)c1ccccc1)c1ccccc1', 'S=C(NN=C(c1ccccc1)c1ccccc1)Nc1cccc(Cl)c1']",-0.0020487,20
c1)c1ccccc,7,0.17027487229384577,5,4.166666666666666,0.00126135,0.0,0.0020487,"['CC(=O)NC(=Cc1ccccc1)c1ccccc1', 'CC(=Pc1c(C(C)C)cc(C(C)C)cc1C(C)C)P=C(O[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1', 'CN(C)c1c([N+](=O)[O-])ccc(N)c1NC(=O)C(=O)NN(c1ccccc1)c1ccccc1', 'O=C(OC(=C(O)C(=O)c1ccccc1)c1ccccc1)c1ccccc1', 'S=C(NN=C(c1ccccc1)c1ccccc1)Nc1cccc(Cl)c1']",-0.0020487,20
