Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
[BH2-]1n2cccc2C=C2C(c3ccccc3)=C(c3ccncc3)C(c3ccc[nH]3)=[N+]12,1,0.13020833333333331,0,0.0
*C1=C(*)C2=C(c3cccnc3)c3cccn3[BH2-]C1=C2,1,0.13020833333333331,0,0.0
*C1=C(c2ccc[nH]2)C2=C(c3cccnc3)c3cccn3[BH2-]C1=C2,1,0.13020833333333331,0,0.0
*C1=C2C(c3ccccc3)=C(c3ccncc3)C(c3ccc[nH]3)=[N+]2[BH2-]n2cccc21,1,0.13020833333333331,0,0.0
[BH2-]1n2cccc2C(c2ccncc2)=C2C(c3ccccc3)=CC(c3ccc[nH]3)=[N+]12,1,0.13020833333333331,0,0.0
c1ccc2cc3c(cc2c1)Cc1c-3ccc2ccccc12,1,0.13020833333333331,1,1.4084507042253522
O=C1Nc2ccc3ccccc3c2C1=c1c2ccncc2c(=O)n2cccc12,1,0.13020833333333331,1,1.4084507042253522
c1ccc2c3c(ccc2c1)NCC3,1,0.13020833333333331,1,1.4084507042253522
c1cc2cc3ccncc3cn2c1,1,0.13020833333333331,1,1.4084507042253522
*[N+]1=CC=CC1=C1c2cccn2[BH2-]n2cccc21,1,0.13020833333333331,0,0.0
[BH2-]1n2cccc2C(=C2C=CC=[N+]2)c2cccn21,1,0.13020833333333331,0,0.0
F[B-]1(F)n2cccc2C(=C2C=CC(Br)=[N+]2c2ccccn2)c2cccn21,1,0.13020833333333331,1,1.4084507042253522
[BH2-]1n2cccc2C(=C2C=CC=[N+]2c2ccccn2)c2cccn21,1,0.13020833333333331,0,0.0
*C1=CC2=C(c3ccncc3)c3cccn3[BH2-]C2=C1,1,0.13020833333333331,0,0.0
*C1=C2C=C(c3cccs3)C=C2[BH2-]n2cccc21,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(c3cccs3)=CC2=Cc2cccn21,1,0.13020833333333331,0,0.0
F[B-]1(F)C2=CC(c3cccs3)=CC2=C(c2ccncc2)c2cc(Cl)cn21,1,0.13020833333333331,1,1.4084507042253522
[BH2-]1C2=CC(c3cccs3)=CC2=C(c2ccncc2)c2cccn21,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC=CC2=C(c2ccncc2)c2cccn21,1,0.13020833333333331,0,0.0
*C1=CC2=C(*)c3cccn3[BH2-]C2=C1,1,0.13020833333333331,0,0.0
CC1=[N+](c2cc(C)ccc2C)C[B-](F)(F)n2c(C)cc(C)c21,1,0.13020833333333331,1,1.4084507042253522
Fc1cccc(C2=CC(c3ccccc3)=[N+]3C2=C(c2ccccc2)c2cccn2[B-]3(F)F)c1,1,0.13020833333333331,1,1.4084507042253522
c1ccc2c(c1)CCCC2,1,0.13020833333333331,1,1.4084507042253522
[BH2-]1C(=Cc2c3ccccc3cc3ccccc23)[N+](c2ccccc2)=Cc2cccn21,1,0.13020833333333331,0,0.0
