Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccc2c(c1)CCC2,14,2.005730659025788,3,2.5,0.00126135,0.010947849999999999,0.00049015,"['COC(=O)C1=C(C(Cl)Cl)OC2(C(=O)c3ccccc3C2=O)P(c2ccccc2)C1c1ccccc1', 'CC1(C)C(=O)COC12CC(=O)c1ccccc12', 'N#Cc1ccc(N=C2C(=O)Nc3ccccc32)cc1', 'C=C(C)CC1c2c(C)cc(C)cc2C(OC)N1S(=O)(=O)c1ccc(C)cc1', 'O=S1(=O)c2ccccc2C(F)(F)N1C1=NN=C(C(F)(F)F)C2(c3ccccc3)SCSC12', 'CC(=O)OCC(=NO)C(=O)OC1(C(Cl)(Cl)Cl)NC(=O)c2ccccc21', 'COC(=O)C1(C23CCCC2Nc2ccccc23)NC(c2ccccc2)c2ccccc21', 'C1=Cc2ccccc2C(=C2Nc3ccccc3S2)c2ccccc21', 'O=C1CCC2(O1)c1ccc(Br)cc1C(=O)N2c1c(F)c(F)nc(F)c1F', 'COc1ccccc1C1=[S+]C(=C2Sc3ccc(C(C)(C)C)cc3S2)C2=C(OCCS2)C1=O']",9,0.010457699999999999,20
c1ccc2c(c1)ccc1ccccc12,9,1.2893982808022924,3,2.5,0.00126135,0.1090083,0.0008128,"['c1ccc(-c2sc(-c3cc4ccccc4c4ccccc34)c3ccccc23)cc1', 'COc1ccc(NC(=Nc2ccccc2-c2nc3ccccc3c3ccccc23)c2nnc(-c3ccccc3)cc2-c2ccc(Cl)cc2)cc1', 'O=C(Nc1c(-c2ccccc2)c2ccccc2c2ccccc12)c1occc1-c1ccc(Cl)cc1']",14,0.1081955,20
c1ccc(-c2cccc2)cc1,9,1.2893982808022924,0,0.0,0.00126135,0.0840405,0.0012005,"['Clc1ccc(C=Cc2nnn(-c3ccccc3)n2)cc1', 'O=C(Nc1c(-c2ccccc2)c2ccccc2c2ccccc12)c1occc1-c1ccc(Cl)cc1', 'Cc1onc(-c2ccc(F)cc2)c1C1CCC(=O)C1=Cc1ccncc1']",11,0.08284000000000001,20
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,8,1.146131805157593,0,0.0,0.00126135,0.025227,0.0008128,"['c1cncc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)c1', 'c1ccc(-c2ccc(-c3ccc(-c4cccc(-c5ccccc5)c4)cn3)cc2)cc1', 'COc1ccc(NC(=Nc2ccccc2-c2nc3ccccc3c3ccccc23)c2nnc(-c3ccccc3)cc2-c2ccc(Cl)cc2)cc1']",18,0.0244142,20
c1ccc(-c2cc3ccccc3c3ccccc23)cc1,7,1.002865329512894,1,0.8333333333333334,0.00126135,0.09652440000000001,0.00100665,"['COc1ccc(NC(=Nc2ccccc2-c2nc3ccccc3c3ccccc23)c2nnc(-c3ccccc3)cc2-c2ccc(Cl)cc2)cc1', 'O=C(Nc1c(-c2ccccc2)c2ccccc2c2ccccc12)c1occc1-c1ccc(Cl)cc1']",20,0.09551775000000001,20
C=C(CCc1ccccc1)c1ccccc1,6,0.8595988538681949,1,0.8333333333333334,0.00126135,0.0,0.00168545,"['CCOc1cc(OC(=O)c2ccccc2)c(C#Cc2ccccc2)cc1C#CC#Cc1ccccc1COC(=O)c1ccccc1', 'O=C(C[Se]c1ccccc1)c1ccc(Cl)cc1[N+](=O)[O-]']",16,-0.00168545,20
c1ccc2cccc2c1,6,0.8595988538681949,0,0.0,0.00126135,0.25846735000000004,0.00100665,"['c1ccc(-c2sc(-c3cc4ccccc4c4ccccc34)c3ccccc23)cc1', 'O=C1NCC(Cn2ncc3ccccc32)C(=O)N1']",9,0.25746070000000004,20
C1CCCC1,5,0.7163323782234957,12,10.0,0.00126135,0.0,0.00168545,"['COC(=O)C1=CN(C2CC3CCC2(C)C3(C)C)C=C2COc3c(ccc(OC)c3CC(C)=O)N(C(C)=O)C21', 'CC(C)C1CCN1C(=O)c1cccc(-c2ccccc2)c1NC(=O)C1CCCN1C(=O)OC(C)(C)C', 'Cc1[nH]c2nnnn2c(=O)c1C1(O)CC2CCC1(C)C2(C)C', 'CC1(C)OCC(C=CC#N)O1']",5,-0.00168545,20
c1ccc(Cc2ccccc2)cc1,5,0.7163323782234957,9,7.5,0.00126135,0.0071905,0.0008128,"['Fc1ccc(CNc2ccc(Oc3ccccc3)cc2)cc1', 'COC(=O)C1(C23CCCC2Nc2ccccc23)NC(c2ccccc2)c2ccccc21', 'c1ccc(CC2(C(c3ccccc3)c3ccccc3)CCCN(c3ccccc3)O2)cc1']",13,0.0063777,20
c1ccc(C2CC2)cc1,5,0.7163323782234957,1,0.8333333333333334,0.00126135,0.00126135,0.0014307500000000002,"['COC(=O)C1(c2ccc(C(F)(F)F)cc2)CO1', 'O=C(C1CC1c1ccccc1)N1CCCC1C1CN1']",9,-0.0001694000000000001,20
