Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
C1=C2CCCCC2CCC1,5,5,40,40,1,[40],0.21190505,0.21190505,0.21190505,[0.21190505],0.19989245,0.19989245,0.19989245,[0.19989245],1,1,1.0,1,[1],"{'CC1=C2OCC([Si](C)(C)C)CC2(C)COB1c1c2ccccc2cc2ccccc12', 'CC1=C2C(=O)CCCC2CC(=CNCc2ccccc2)C1=O'}",2,1.0
C1=CC(=C(c2ccccc2)c2ccccc2)C(c2ccccc2)=C1,6,6,220,220,1,[220],0.40487605,0.40487605,0.40487605,[0.40487605],0.0592465499999999,0.0592465499999999,0.0592465499999999,[0.0592465499999999],1,1,1.0,1,[1],"{'Brc1cccc(C2=NC(c3ccccc3)=C(c3ccccc3)C2=C(c2ccccc2)c2ccccc2)c1', 'O=S(=O)(C1=C(c2ccccc2)C(=C(c2ccccc2)c2ccccc2)N=C1c1ccccc1)c1ccccc1'}",2,1.0
C1=CC(=C(c2ccccc2)c2ccccc2)C=C1,6,6,220,220,1,[220],0.3513995,0.3513995,0.3513995,[0.3513995],0.0054306999999999,0.0054306999999999,0.0054306999999999,[0.0054306999999999],2,2,2.0,2,[2],"{'Brc1cccc(C2=NC(c3ccccc3)=C(c3ccccc3)C2=C(c2ccccc2)c2ccccc2)c1', 'ClC1=C(Cl)C(c2ccc(Cl)cc2)=C(Br)C1=C(c1ccccc1)c1ccccc1', 'O=S(=O)(C1=C(c2ccccc2)C(=C(c2ccccc2)c2ccccc2)N=C1c1ccccc1)c1ccccc1'}",3,1.0
C1=CC(=C(c2ccccc2)c2ccccc2)C=C1c1ccccc1,6,6,220,220,1,[220],0.3513995,0.3513995,0.3513995,[0.3513995],0.0054306999999999,0.0054306999999999,0.0054306999999999,[0.0054306999999999],2,2,2.0,2,[2],"{'Brc1cccc(C2=NC(c3ccccc3)=C(c3ccccc3)C2=C(c2ccccc2)c2ccccc2)c1', 'ClC1=C(Cl)C(c2ccc(Cl)cc2)=C(Br)C1=C(c1ccccc1)c1ccccc1', 'O=S(=O)(C1=C(c2ccccc2)C(=C(c2ccccc2)c2ccccc2)N=C1c1ccccc1)c1ccccc1'}",3,1.0
C1=CC(=C2C(c3ccccc3)=C(c3ccccc3)c3ccccc32)C=C1,4,4,240,240,1,[240],0.28148505,0.28148505,0.28148505,[0.28148505],-0.0866520499999999,-0.0866520499999999,-0.0866520499999999,[-0.0866520499999999],2,2,2.0,2,[2],"{'O=[N+]([O-])c1ccc(C2=CC=C(c3ccccc3)C2=C2C(c3ccccc3)=C(c3ccccc3)c3ccccc32)cc1', 'BrC1=C(Br)C(=C2C(c3ccccc3)=C(c3ccccc3)c3c(Br)ccc(Br)c32)C(Br)=C1Br'}",2,1.0
C1=CC(=C2C(c3ccccc3)=Cc3ccccc32)C=C1,4,4,240,240,1,[240],0.28148505,0.28148505,0.28148505,[0.28148505],-0.0866520499999999,-0.0866520499999999,-0.0866520499999999,[-0.0866520499999999],2,2,2.0,2,[2],"{'O=[N+]([O-])c1ccc(C2=CC=C(c3ccccc3)C2=C2C(c3ccccc3)=C(c3ccccc3)c3ccccc32)cc1', 'BrC1=C(Br)C(=C2C(c3ccccc3)=C(c3ccccc3)c3c(Br)ccc(Br)c32)C(Br)=C1Br'}",2,1.0
C1=CC(=C2C=C(c3ccccc3)C(c3ccccc3)=C2)C=C1c1ccccc1,4,4,240,240,1,[240],0.0,0.0,0.0,[0.0],-0.36661025,-0.36661025,-0.36661025,[-0.36661025],1,1,1.0,1,[1],{'C1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1'},1,1.0
C1=CC(=C2C=C(c3ccccc3)C(c3ccccc3)=C2c2ccccc2)C=C1c1ccccc1,4,4,240,240,1,[240],0.0,0.0,0.0,[0.0],-0.36661025,-0.36661025,-0.36661025,[-0.36661025],1,1,1.0,1,[1],{'C1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1'},1,1.0
C1=CC(=C2C=C(c3ccccc3)C=C2c2ccccc2)C=C1c1ccccc1,4,4,240,240,1,[240],0.0,0.0,0.0,[0.0],-0.36661025,-0.36661025,-0.36661025,[-0.36661025],1,1,1.0,1,[1],{'C1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1'},1,1.0
C1=CC(=C2C=C(c3ccccc3)c3ccccc32)C=C1,4,4,240,240,1,[240],0.28148505,0.28148505,0.28148505,[0.28148505],-0.0866520499999999,-0.0866520499999999,-0.0866520499999999,[-0.0866520499999999],2,2,2.0,2,[2],"{'O=[N+]([O-])c1ccc(C2=CC=C(c3ccccc3)C2=C2C(c3ccccc3)=C(c3ccccc3)c3ccccc32)cc1', 'BrC1=C(Br)C(=C2C(c3ccccc3)=C(c3ccccc3)c3c(Br)ccc(Br)c32)C(Br)=C1Br'}",2,1.0
C1=CC(=C2C=CC(c3ccccc3)=C2)C(c2ccccc2)=C1,4,4,240,240,1,[240],0.0,0.0,0.0,[0.0],-0.36661025,-0.36661025,-0.36661025,[-0.36661025],1,1,1.0,1,[1],{'C1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1'},1,1.0
C1=CC(=C2C=CC(c3ccccc3)=C2)C=C1,4,4,240,240,1,[240],0.0,0.0,0.0,[0.0],-0.36661025,-0.36661025,-0.36661025,[-0.36661025],1,1,1.0,1,[1],{'C1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1'},1,1.0
C1=CC(=C2C=CC(c3ccccc3)=C2c2ccccc2)C=C1c1ccccc1,4,4,240,240,1,[240],0.0,0.0,0.0,[0.0],-0.36661025,-0.36661025,-0.36661025,[-0.36661025],1,1,1.0,1,[1],{'C1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1'},1,1.0
C1=CC(=C2C=Cc3ccccc32)C=C1,4,4,240,240,1,[240],0.28148505,0.28148505,0.28148505,[0.28148505],-0.0866520499999999,-0.0866520499999999,-0.0866520499999999,[-0.0866520499999999],2,2,2.0,2,[2],"{'O=[N+]([O-])c1ccc(C2=CC=C(c3ccccc3)C2=C2C(c3ccccc3)=C(c3ccccc3)c3ccccc32)cc1', 'BrC1=C(Br)C(=C2C(c3ccccc3)=C(c3ccccc3)c3c(Br)ccc(Br)c32)C(Br)=C1Br'}",2,1.0
C1=CC(=Cc2ccccc2)C(c2ccccc2)=C1,7,7,280,280,1,[280],0.40642665,0.40642665,0.40642665,[0.40642665],-0.0621677499999999,-0.0621677499999999,-0.0621677499999999,[-0.0621677499999999],2,2,2.0,2,[2],"{'Cc1ccc(C2=NC(c3ccc4ccccc4c3)=C(c3ccccc3)C2=Cc2ccccc2)cc1', 'C1=C(c2ccccc2)C(=Nc2ccc(-c3ccccc3)cc2)C(c2ccccc2)=C1c1ccccc1'}",2,1.0
C1=CC(=Cc2ccccc2)C=C1,8,4,280,210,2,"[210, 280]",0.40642665,0.3889898499999999,0.39770825,"[0.3889898499999999, 0.40642665]",0.1171291999999999,-0.0621677499999999,0.027480725000000004,"[0.1171291999999999, -0.0621677499999999]",6,6,5.0,10,"[6, 4]","{'COc1ccc(C=C2C=C(c3ccc(Oc4ccccc4)cc3)C(c3ccc(Br)cc3)=C2c2ccc(Br)cc2)cc1OC', 'Cc1ccc(C2=NC(c3ccc4ccccc4c3)=C(c3ccccc3)C2=Cc2ccccc2)cc1', 'COc1ccc(C=C2N=CC(Nc3ccccc3)=N2)cc1', 'C1=C(c2ccccc2)C(=Nc2ccc(-c3ccccc3)cc2)C(c2ccccc2)=C1c1ccccc1'}",4,1.0
C1=CC(c2ccccc2)=C(c2ccccc2)C1,8,4,260,250,2,"[250, 260]",0.4652013,0.3774784,0.42133984999999996,"[0.4652013, 0.3774784]",0.0713179999999999,-0.0262593999999999,0.022529299999999995,"[0.0713179999999999, -0.0262593999999999]",3,3,3.0,6,"[3, 3]","{'c1ccc(C2=NC(c3ccccc3)=C(c3ccccc3)C2(c2ccccc2)c2c3ccccc3cc3ccccc23)cc1', 'Cl[PH]1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)[Si]1(Cl)Cl', 'C[Si]1(C)C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccn1'}",3,1.0
C1=CC(c2ccccc2)=C2C1=C(c1ccccc1)c1ccccc12,4,4,160,160,1,[160],0.3935216,0.3935216,0.3935216,[0.3935216],0.1521063,0.1521063,0.1521063,[0.1521063],2,2,2.0,2,[2],"{'CC1=C(c2ccccc2)C2=C(c3ccccc3)c3ccccc3C2=C1c1ccccc1', 'CC1=C(c2ccccc2)C(c2ccc(C=C3C(c4ccccc4)=C(c4ccccc4)c4ccccc43)cc2)=C2C1=C(c1ccccc1)c1ccccc12'}",2,1.0
C1=CC(c2ccccc2)=C2C1=Cc1ccccc12,4,4,160,160,1,[160],0.3935216,0.3935216,0.3935216,[0.3935216],0.1521063,0.1521063,0.1521063,[0.1521063],2,2,2.0,2,[2],"{'CC1=C(c2ccccc2)C2=C(c3ccccc3)c3ccccc3C2=C1c1ccccc1', 'CC1=C(c2ccccc2)C(c2ccc(C=C3C(c4ccccc4)=C(c4ccccc4)c4ccccc43)cc2)=C2C1=C(c1ccccc1)c1ccccc12'}",2,1.0
C1=CC(c2ccccc2)=CC1,10,6,260,160,2,"[160, 260]",0.3774784,0.1939605,0.28571945,"[0.1939605, 0.3774784]",-0.0262593999999999,-0.0589285999999999,-0.0425939999999999,"[-0.0589285999999999, -0.0262593999999999]",5,5,4.5,9,"[5, 4]","{'c1ccc(C2=NC(c3ccccc3)=C(c3ccccc3)C2(c2ccccc2)c2c3ccccc3cc3ccccc23)cc1', 'Brc1ccc(C2N=C(c3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1', 'Cl[PH]1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)[Si]1(Cl)Cl'}",3,1.0
C1=CC(c2ccccc2)=CC1=Cc1ccccc1,8,4,350,230,2,"[230, 350]",0.395574,0.2200988,0.3078364,"[0.395574, 0.2200988]",0.0019926999999999,-0.2630599999999999,-0.13053365,"[0.0019926999999999, -0.2630599999999999]",4,1,2.5,5,"[1, 4]","{'CC1=C(C2=C(c3ccccc3)C(c3ccccc3)=NC2=Nc2ccc(C)cc2)c2cn3c(c1c2=O)C(=O)c1ccccc1-3', 'c1ccc(N=C2N=C(c3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1'}",2,4.0
