Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
nnn,3,0.8287292817679558,6,5.128205128205128,0.0003716,0.0302372,0.00032315,"['c1ccc(SCCCSc2nnnc(-n3cccn3)n2)nc1', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'N#Cc1ccc(-c2nnn3cc(C#N)ccc23)cc1']",3,0.029914049999999998,10
C#C,3,0.8287292817679558,3,2.564102564102564,0.0003716,0.0,0.0004001,"['CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1']",2,-0.0004001,10
P,3,0.8287292817679558,9,7.6923076923076925,0.0003716,0.0,0.00038585,"['CC(C)P(Cc1cccc2cccnc12)C(C)(C)C', 'Cc1cc(C)c(B(c2cccc(P(c3ccccc3)c3ccccc3)c2)c2c(C)cc(C)cc2C)c(C)c1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C']",1,-0.00038585,10
O[Si],2,0.5524861878453038,2,1.7094017094017095,0.0003716,0.0,0.0004001,"['CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'CCOC(=O)C12COCOC1C1C(C)C(O[Si](C)(C)C(C)(C)C)C3OC1C(C)C(C)CCC32C']",2,-0.0004001,10
C=N,2,0.5524861878453038,11,9.401709401709402,0.0003716,0.02003975,0.0003716,"['O=COc1ccc(F)cc1C=Nc1ccc(F)cc1', 'CCc1ccccc1N1CC(c2ccccc2)=Nc2cccnc21']",2,0.01966815,10
[s+],2,0.5524861878453038,1,0.8547008547008548,0.0003716,0.0574277,0.00032315,['Cc1c[s+]c(-c2cncc(-c3ccc(C)c(-c4n[n-]c(-c5ccccn5)[s+]4)n3)c2)[n-]1'],1,0.05710455,10
NS(=O)(=O)O,2,0.5524861878453038,2,1.7094017094017095,0.0003716,0.0009351499999999999,0.0003716,"['Cc1ccccc1-n1ncc(C)c1C1OS(=O)(=O)NC1c1ccccc1', 'O=S1(=O)OCCCC2C=CCN21']",5,0.0005635499999999999,10
C=CCl,2,0.5524861878453038,3,2.564102564102564,0.0003716,0.0,0.0004001,"['COCC(=C(Cl)c1ccccc1)c1ccco1', 'O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl']",3,-0.0004001,10
no,2,0.5524861878453038,2,1.7094017094017095,0.0003716,0.0147919,0.0002747,"['Cc1noc2c1[nH]c1ccccc12', 'COC(=O)c1cccc2nc(-c3ccccc3)n3occ3c12']",2,0.014517200000000001,10
OCO,2,0.5524861878453038,3,2.564102564102564,0.0003716,0.0,0.0004001,"['CCOC(=O)C12COCOC1C1C(C)C(O[Si](C)(C)C(C)(C)C)C3OC1C(C)C(C)CCC32C', 'CC(C)(C)OC(=O)N1C(C(c2ccccc2)C2(C)C(=O)N(Cc3ccccc3)c3cc(Cl)ccc32)=C2CCC1C1OC(C)(C)OC1C2']",3,-0.0004001,10
O=CNC=O,2,0.5524861878453038,5,4.273504273504273,0.0003716,0.0,0.0004001,"['CC(=O)c1nn2c3c1C1(CC3(C)C(=O)N(C)C1=O)c1ccccc1-c1ccccc1-2', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C']",5,-0.0004001,10
